#Bandwidth	Vehicle Utilization	Number Initial Setup Jobs		Job Rate	Job Processing Time		Cars Arrived	Cars Departed	Jobs Completed	Jobs Failed	Jobs Total	VM Migrations Successful	VM Migrations Failed	VM Migrations Total	Avg Job Completion Time	MTTF	avg success VM Migration Time	avg jobs in initial setup	avg jobs in parking lot	avg jobs in job queue	avg cars in parking lot	Time Processing	Time Initializing	Time Backup	Time Finalization	Time VM
7500	80	100	30	0.54	270	Results	100789	53864.6	14080.8	1.2	14082	0	0	0	480.99	384.64	0	99.0855	690.9502	1820.03	2558.556	270.0308	66.5795	77.47616	66.8585	0
7500	80	100	30	0.54	300	Results	100789	53864.6	14016.8	10.4	14027.2	2.4	0	2.4	511.8466	853.886	0.2	98.93524	732.2194	1833.28	2558.556	300.3086	66.66278	77.65022	66.9141	0.00011491


7500	80	100	30	0.56	60	Results	100789	53864.6	15509.6	0	15509.6	0	0	0	243.7234	0	0	99.5778	381.626	973.5482	2558.556	60	62.1967	58.60276	62.92414	0
7500	80	100	30	0.56	90	Results	100789	53864.6	15274.2	0	15274.2	0	0	0	279.826	0	0	99.48922	431.9714	1058.2104	2558.556	90	62.8956	62.9734	63.95682	0
7500	80	100	30	0.56	120	Results	100789	53864.6	14987.2	0	14987.2	0	0	0	315.343	0	0	99.40126	478.6382	1175.188	2558.556	120	63.82154	66.81222	64.70942	0
7500	80	100	30	0.56	150	Results	100789	53864.6	14772.2	0	14772.2	0	0	0	349.9854	0	0	99.23596	524.1288	1265.372	2558.556	150	64.43546	70.0262	65.52378	0
7500	80	100	30	0.56	180	Results	100789	53864.6	14587.2	0	14587.2	0	0	0	384.4836	0	0	99.2033	569.123	1326.704	2558.556	180	65.0592	73.25628	66.16782	0
7500	80	100	30	0.56	210	Results	100789	53864.6	14396.4	0	14396.4	0	0	0	417.1562	0	0	99.08812	610.6856	1393.19	2558.556	210	65.55576	75.02958	66.57098	0
7500	80	100	30	0.56	240	Results	100789	53864.6	14225	0.8	14225.8	0	0	0	449.6098	208.75	0	99.0312	650.981	1451.396	2558.556	240.0202	66.145	76.75074	66.66896	0
7500	80	100	30	0.56	270	Results	100789	53864.6	14077	1.8	14078.8	0.4	0	0.4	481.1696	902.3	0	98.9073	690.6934	1490.344	2558.556	270.044	66.49964	77.34942	67.21974	0
7500	80	100	30	0.56	300	Results	100789	53864.6	14024	5	14029	0.4	0	0.4	511.2086	762.476	0.2	98.8052	731.2636	1486.97	2558.556	300.1388	66.5334	77.16762	67.2298	1.42308E-05


7500	80	100	30	0.58	60	Results	100789	53864.6	15513.4	0	15513.4	0	0	0	243.171	0	0	99.37564	380.8498	658.72	2558.556	60	62.071	58.44744	62.65276	0
7500	80	100	30	0.58	90	Results	100789	53864.6	15232.2	0	15232.2	0	0	0	279.9818	0	0	99.3011	431.0908	776.8558	2558.556	90	62.95872	63.05694	63.96614	0
7500	80	100	30	0.58	120	Results	100789	53864.6	14975.2	0	14975.2	0	0	0	315.4142	0	0	99.19536	477.994	869.1404	2558.556	120	63.78448	66.76726	64.86244	0
7500	80	100	30	0.58	150	Results	100789	53864.6	14764	0	14764	0	0	0	350.2048	0	0	99.09508	524.1568	951.8732	2558.556	150	64.38068	70.2426	65.5815	0
7500	80	100	30	0.58	180	Results	100789	53864.6	14526.6	0	14526.6	0	0	0	384.3634	0	0	98.98418	566.6914	1044.3516	2558.556	180	65.1881	73.16442	66.01076	0
7500	80	100	30	0.58	210	Results	100789	53864.6	14370.4	0.8	14371.2	0	0	0	416.6434	185.55	0	98.88932	609.117	1091.1324	2558.556	210.0176	65.51558	74.77958	66.30866	0
7500	80	100	30	0.58	240	Results	100789	53864.6	14176.4	0.4	14176.8	0	0	0	449.0646	230	0	98.76314	648.5288	1159.51	2558.556	240.0102	66.12796	76.41094	66.4988	0
7500	80	100	30	0.58	270	Results	100789	53864.6	14087	2	14089	0	0	0	480.123	865.46	0	98.72028	689.8356	1188.33	2558.556	270.0536	66.32414	76.84852	66.83404	0
7500	80	100	30	0.58	300	Results	100789	53864.6	13993.2	6.8	14000	1.2	0	1.2	511.42	920.264	0	98.54778	730.2264	1209.316	2558.556	300.1958	66.49908	77.6466	66.89168	0


7500	80	100	30	0.6	60	Results	100789	53864.6	15519.8	0	15519.8	0	0	0	242.4408	0	0	98.95508	379.7506	400.5168	2558.556	60	61.80436	58.25954	62.37698	0
7500	80	100	30	0.6	90	Results	100789	53864.6	15184.4	0	15184.4	0	0	0	280.1166	0	0	99.0447	430.0046	528.2296	2558.556	90	62.9625	63.31732	63.83678	0
7500	80	100	30	0.6	120	Results	100789	53864.6	14965.4	0	14965.4	0	0	0	314.8002	0	0	98.97316	476.9882	609.406	2558.556	120	63.61672	66.54	64.6434	0
7500	80	100	30	0.6	150	Results	100789	53864.6	14722	0	14722	0	0	0	350.1834	0	0	98.85848	522.7686	702.322	2558.556	150	64.385	70.19972	65.59886	0
7500	80	100	30	0.6	180	Results	100789	53864.6	14541.6	0	14541.6	0	0	0	383.3156	0	0	98.81306	565.748	773.9884	2558.556	180	64.97894	72.48752	65.84918	0
7500	80	100	30	0.6	210	Results	100789	53864.6	14360.2	0	14360.2	0	0	0	416.5642	0	0	98.6569	608.1264	832.8346	2558.556	210	65.47156	74.64534	66.4475	0
7500	80	100	30	0.6	240	Results	100789	53864.6	14210.6	0.2	14210.8	0	0	0	448.5338	158.2	0	98.55958	648.732	895.6624	2558.556	240.0034	65.89532	76.19038	66.44466	0
7500	80	100	30	0.6	270	Results	100789	53864.6	14046	3.6	14049.6	0	0	0	480.4396	678.2422	0	98.37058	688.1796	927.8524	2558.556	270.0964	66.26228	77.13518	66.824	0
7500	80	100	30	0.6	300	Results	100789	53864.6	13900.4	12.2	13912.6	0	0	0	512.5012	1110.9076	0	98.28214	727.4228	992.605	2558.556	300.3282	66.67958	78.01102	67.18638	0


7500	80	100	30	0.62	60	Results	100789	53864.6	15436.4	0	15436.4	0	0	0	241.3662	0	0	97.70066	376.1884	176.21258	2558.556	60	61.30334	58.18824	61.87476	0
7500	80	100	30	0.62	90	Results	100789	53864.6	15192	0	15192	0	0	0	279.0292	0	0	98.54956	428.5698	261.8932	2558.556	90	62.62532	62.8332	63.57066	0
